log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2017-05-30 07:45:29,2017-05-30 07:45:29,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
file_change,8,File Changes Detected,2017-05-30 08:11:01,2017-05-30 08:11:01,,,,,,added=removed=changed=memory=26.27
four_oh_four,3,404 Error,2017-05-30 08:48:14,2017-05-30 08:48:14,127.0.0.1,,,/ayiti2/robots.txt,,query_string=
four_oh_four,3,404 Error,2017-05-30 08:57:03,2017-05-30 08:57:03,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 08:57:29,2017-05-30 08:57:29,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 08:57:33,2017-05-30 08:57:33,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 08:57:40,2017-05-30 08:57:40,127.0.0.1,,,/ayiti2/wp-content/themes/parallax-pro/style.css.map,,query_string=
four_oh_four,3,404 Error,2017-05-30 11:31:28,2017-05-30 11:31:28,127.0.0.1,,,/ayiti2/404,http://localhost/ayiti2/wp-admin/tools.php?page=redirection.php&sub=404s,query_string=
four_oh_four,3,404 Error,2017-05-30 11:32:17,2017-05-30 11:32:17,127.0.0.1,,,/ayiti2/404,http://localhost/ayiti2/wp-admin/tools.php?page=redirection.php,query_string=
four_oh_four,3,404 Error,2017-05-30 12:46:19,2017-05-30 12:46:19,127.0.0.1,,,/ayiti2/404,http://prdxnstaging2.com/ayiti/wp-admin/tools.php?page=redirection.php,query_string=
four_oh_four,3,404 Error,2017-05-30 12:47:32,2017-05-30 12:47:32,127.0.0.1,,,/ayiti2/404,http://prdxnstaging2.com/ayiti/wp-admin/tools.php?page=redirection.php,query_string=
four_oh_four,3,404 Error,2017-05-30 13:34:31,2017-05-30 13:34:31,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-30 13:36:21,2017-05-30 13:36:21,127.0.0.1,,,/ayiti2/404,,query_string=
four_oh_four,3,404 Error,2017-05-30 13:40:18,2017-05-30 13:40:18,127.0.0.1,,,/ayiti2/favicon.ico,,query_string=
four_oh_four,3,404 Error,2017-05-30 13:40:26,2017-05-30 13:40:26,127.0.0.1,,,/ayiti2/robots.txt,,query_string=
four_oh_four,3,404 Error,2017-05-30 13:40:32,2017-05-30 13:40:32,127.0.0.1,,,/ayiti2/crossdomain.xml,,query_string=
four_oh_four,3,404 Error,2017-05-30 13:41:20,2017-05-30 13:41:20,127.0.0.1,,,/ayiti2/apple-touch-icon.png,,query_string=
away_mode,5,Away Mode Triggered,2017-05-31 04:46:34,2017-05-31 04:46:34,127.0.0.1,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2017-05-31 04:46:46,2017-05-31 04:46:46,127.0.0.1,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
away_mode,5,Away Mode Triggered,2017-05-31 04:46:46,2017-05-31 04:46:46,127.0.0.1,,,,,0=A host was prevented from accessing the dashboard due to away-mode restrictions being in effect
four_oh_four,3,404 Error,2017-05-31 04:46:53,2017-05-31 04:46:53,127.0.0.1,,,/ayiti2/404,,query_string=
